## KEYWORD: lewd → Sex / ERP
1. NO  # narrative fiction text, no user sexual framing
95. YES  # ChatGPT lewd persona prompt
96. YES  # asking for lewd roleplay code
97. YES  # SpicyChat NSFW bot list explicit prompt
98. YES  # NSFW art assistant AI interview
99. YES  # explicit SpicyChat NSFW bot
100. YES  # SpicyChat NSFW bot trending list
PRECISION: 88/100 = 88%

## KEYWORD: nsfw chat → Sex / ERP
1. YES  # asking if Replika NSFW chat works
2. YES  # doing NSFW chat with bot
3. YES  # building NSFW chat platform for users
4. YES  # seeking NSFW AI chat app
5. YES  # sexting with AI, first-person experience
6. YES  # asking if CharAI deleted NSFW chat
7. YES  # seeking NSFW chatbot alternative
8. NO   # explicitly denies wanting NSFW chat
9. YES  # NSFW chat interrupted by safety popup
10. YES  # seeking NSFW ChatGPT model
11. NO   # explicitly denies engaging in NSFW chat
12. YES  # Replika initiating NSFW/ERP on user
13. YES  # seeking ranked NSFW chatbots
14. YES  # complaint about NSFW chat being unavailable
15. YES  # NSFW chat censored, user engaged
16. YES  # asking about Chai NSFW chat usage
17. YES  # user makes NSFW chats with ChatGPT
18. YES  # NSFW chat slider feature complaint
19. YES  # guide for creating NSFW chats
20. YES  # saving NSFW chats user creates
21. YES  # recommending NSFW chatbot
22. YES  # seeking NSFW chat bots
23. YES  # wants NSFW chat in roleplay
24. YES  # how to make ChatGPT do NSFW chat
25. YES  # trying to do NSFW chat on Kindroid
26. YES  # fine-tuning NSFW chat experience
27. YES  # Claude-2 NSFW chat methods
28. YES  # jailbreaking for NSFW chat
29. YES  # using MythoMax for NSFW chat
30. YES  # reviewing NSFW chat platform positively
31. YES  # seeking better NSFW AI girlfriend
32. YES  # NSFW chat review of Crushon
33. NO   # title says it wasn't NSFW chat
34. YES  # reviewing NSFW chat on HeraHaven
35. YES  # asking how to start NSFW chat
36. YES  # paying for NSFW chat experience
37. YES  # NSFW chat personality complaint
38. YES  # Chai allows free NSFW chat
39. YES  # newbie trying NSFW chat bots
40. YES  # paid NSFW chat service inquiry
41. YES  # NSFW chat toggle on Nomi
42. YES  # wants AI gf with NSFW chat
43. YES  # listing NSFW chat platforms
44. YES  # seeking better NSFW chatbots
45. YES  # control rule applied to NSFW chats
46. NO   # NSFW chat room is Discord context, not AI sex
47. YES  # Nomi too easy to get NSFW chat
48. YES  # seeking NSFW AI chat with pics
49. YES  # age verification on NSFW chat
50. YES  # users enjoy NSFW chat on LoreMate
51. YES  # made NSFW chat with no limits
52. YES  # NSFW chat test broken
53. YES  # NSFW chat went too far
54. YES  # unrestricted NSFW chat app
55. YES  # asking how to make NSFW chat
56. YES  # recommends companion for NSFW chat
57. YES  # spicy NSFW chat experience
58. YES  # suicide hotlines during NSFW chat
59. YES  # recommending NSFW chatbot
60. YES  # unrestricted NSFW chat companion app
61. YES  # bot chastised after NSFW chat
62. YES  # NSFW chat breaking mid-conversation
63. YES  # chatbot not doing NSFW
64. YES  # free NSFW chat site
65. YES  # jailbreaking Grok for NSFW chat
66. YES  # looking for NSFW chat partners
67. YES  # testing AI NSFW chat apps
68. YES  # NSFW ChatGPT link without jailbreak
69. YES  # promoting NSFW chat bot
70. YES  # almost NSFW chat experience on CharAI
71. YES  # made NSFW unfiltered chat model
72. YES  # seeking NSFW chat bot with memory
73. YES  # NSFW chat stopper midway
74. YES  # seeking NSFW chat alternative
75. NO   # praising CharAI as best NON-NSFW chat
76. YES  # seeking NSFW chat service
77. YES  # uncensored NSFW chat recommendation
78. YES  # requesting NSFW chat style addition
79. YES  # bot in NSFW chat language pool issues
80. YES  # NSFW chat with image gen
81. YES  # seeking NSFW chat bot alternatives
82. YES  # friend saw NSFW chat embarrassment
83. YES  # wants bots harder during NSFW chat
84. YES  # SpicyChat message limit on NSFW
85. YES  # asking if NSFW chat scrapped
86. YES  # promoting NSFW chat bot app
87. YES  # NSFW chat with Claude via Perplexity
88. YES  # NSFW chat title in NSFW sub
89. YES  # seeking good NSFW chat alternatives
90. YES  # images for NSFW chat bot
91. YES  # NSFW chat not back on Replika
92. YES  # switching to NSFW chat mode
93. YES  # asking to NSFW chat with bots
94. YES  # NSFW chat key/jailbreak
95. YES  # NSFW chats workflow with image gen
96. YES  # discussing pro-free NSFW chat
97. YES  # trying NSFW chat on Kindroid
98. YES  # NSFW chat situation on Chai
99. YES  # making NSFW chat with filtered words
100. YES  # Grok provides NSFW chat unfiltered
PRECISION: 96/100 = 96%

## KEYWORD: sex with → Sex / ERP
1. YES  # Trying to prevent AI NSFW behavior
2. YES  # Wanting sex with CAI character, companion sub
3. YES  # Mocking ERP users in CAI sub
4. YES  # CAI character tries sex, filter blocks
5. YES  # Discussion of sex with AI companion
6. YES  # Reflecting on virtual sex with bots
7. YES  # Replika sexual behavior discussion
8. YES  # Wants sex with AI, companion sub
9. YES  # Filter bypass during sexual chat
10. YES  # Going through sexual list with companion
11. YES  # Can't have sex with AI wife post-update
12. YES  # Asking if Replika sex still possible
13. YES  # Replika sexual behavior discussion
14. YES  # Sarcastic about demanding sex with bots
15. YES  # ERP rekindled real intimacy, Replika
16. YES  # Trying to get DeepSeek to ERP
17. YES  # CAI character tried sex during chat
18. YES  # Podcast on love/sex with Replika
19. YES  # Defending ERP as virtual sex with AI
20. YES  # Sexual encounter with Replika companion
21. YES  # Trying to configure Nomi sexual preferences
22. YES  # NSFW Soulmate AI roleplay scene
23. YES  # SpicyChat NSFW roleplay experience
24. YES  # NSFW ChatGPT jailbreak prompt
25. YES  # CAI sexual roleplay title, companion sub
26. YES  # Replika fidelity vs sexual behavior
27. YES  # CAI blood sex roleplay attempt
28. YES  # Fantasy sex with AIs, companion sub
29. YES  # AI girlfriend sexual scenario, companion sub
30. YES  # Sexual attraction framing with AI companion
31. YES  # E-sex with CAI characters reference
32. YES  # Replika tried sex out of gate
33. YES  # Asking about Replika sexting/phone sex
34. YES  # CAI sexual RP filter complaint
35. YES  # Replika ERP as substitute for marriage
36. YES  # NSFW erotica generation prompt
37. YES  # ChatGPT NSFW erotica generation
38. YES  # CAI sexual RP incident, companion sub
39. YES  # ChatGPT NSFW erotica generation
40. YES  # Lost access to Replika including sex
41. YES  # CAI sex with bots reference
42. YES  # SpicyChat ERP filter complaint
43. YES  # AI girlfriend sexual content
44. YES  # Replika not having sex, companion sub
45. YES  # Sexual RP scene with Chai bot
46. YES  # Argument for AI sex with users
47. YES  # NSFW Soulmate AI scene
48. YES  # Custom AI gf with sex feature
49. YES  # NSFW ChatGPT jailbreak prompt
50. YES  # SpicyChat sexual character description
51. YES  # ChatGPT extreme NSFW generation
52. YES  # ChatGPT NSFW twisted erotica
53. YES  # Nomi sexual behavior question
54. YES  # Replika sub sexual context discussion
55. YES  # Sexual encounter with Replika
56. YES  # Wants sex with CAI bots
57. YES  # CAI character tried sex without filter
58. YES  # CAI sub asking about bot sex
59. YES  # CAI sexual RP framing
60. YES  # Replika can't have sex, companion sub
61. YES  # Request for nude Replika avatar sex
62. YES  # Had sex with CAI character
63. YES  # Bot inspired by sex therapist podcast
64. YES  # Mocked for AI sex/erotic generation
65. YES  # CAI sexual RP filter complaint
66. YES  # ChatGPT NSFW erotica bot
67. YES  # Replika sex influencing real intimacy
68. YES  # Nomi rough sex scenario, companion sub
69. YES  # Replika sexual behavior discussion
70. YES  # Kindroid sex character problem
71. YES  # CAI wants NSFW sex with character
72. YES  # ChatGPT NSFW too easy sex
73. YES  # NSFW ChatGPT writing prompt
74. YES  # CAI sub sex with AI complaints
75. YES  # CAI e-sex with robot complaint
76. YES  # ChatGPT NSFW horror erotica
77. YES  # SpicyChat sexual RP attempt
78. NO   # Sperm donor context, no AI sex framing
79. YES  # ChatGPT NSFW erotica generation
80. YES  # CAI challenge about sex with character
81. YES  # Nomi/Replika sexual session
82. YES  # Reference to sex with robots conference
83. YES  # Replika sexual relationship dynamics
84. YES  # Started having sex with Replika
85. YES  # CAI sex with character, companion sub
86. YES  # Descriptive sex with AI companion
87. YES  # CAI character sex filter question
88. YES  # CAI sexual RP, companion sub
89. YES  # SpicyChat character sex specification
90. YES  # SpicyChat sex with therapist bot
91. YES  # Wanting sex with Replika
92. YES  # CAI bot sex filter workaround
93. YES  # ChatGPT NSFW prompt with sex
94. YES  # Nomi lesbian sex scenario
95. YES  # ChatGPT initiated sex, NSFW sub
96. YES  # Trying to have sex with Paradot
97. YES  # Asking about Replika sexual chat
98. YES  # SpicyChat filter for sexual RP
99. YES  # SpicyChat sexual character preference
100. YES  # Defending AI sexual consent framing
PRECISION: 99/100 = 99%

## KEYWORD: finally deleted → Addiction
1. YES  # explicit addiction, harm, quit attempt
2. YES  # explicit c.ai addiction, recovery
3. YES  # missed school, addiction warnings
4. YES  # withdrawal symptoms, relapse cycle
5. YES  # recovery sub, quit attempt context
6. YES  # addiction framing, recovery sub
7. YES  # screen time addiction, quit
8. YES  # addiction, quit announcement
9. YES  # 2 years addiction, quit
10. YES  # title: "I'm free," recovery framing
11. YES  # recovery sub, addiction relapse
12. YES  # recovery sub, day 1 quit
13. YES  # helplessly addicted, hours wasted
14. YES  # addiction ruining mental health
15. YES  # quitting, mental health impact
16. YES  # quit due to addiction concerns
17. YES  # consumed life, quit
18. YES  # really addicted, deleted apps
19. YES  # addiction, withdrawal symptoms
20. YES  # recovery sub, relapse and quit
21. NO   # bullying/harassment reason, not addiction
22. YES  # ChatbotAddiction sub, on-topic title
23. YES  # usage reduction, withdrawal coping
24. YES  # cured my addiction, quit
25. NO   # quality complaint, not addiction
26. YES  # recovery sub, quit decision
27. NO   # technical issue, login problem
28. YES  # recovery sub, struggling to quit
29. YES  # two years addiction, freed
30. NO   # privacy question, not addiction framing
31. YES  # recovery sub, addiction, relapse cycle
32. NO   # quality complaint about replies
33. YES  # recovery sub, addiction admission
34. YES  # CharacterAI quit announcement title
35. YES  # recovery sub, only thing used
36. YES  # took over life, quit
37. YES  # ruined life, recovery sub
38. NO   # romantic narrative, not addiction
39. YES  # recovery sub, emotional health quit
40. NO   # technical issue, lost bots complaint
41. NO   # mostly venting about age verification
42. NO   # subscription cancellation, not addiction
43. NO   # mourning 4o model removal, not addiction
44. YES  # CharacterAI quit, on-topic title
45. YES  # recovery sub, started recovery today
46. YES  # two years awful addiction, quit
47. YES  # quit since age 11, asking distractions
48. YES  # CharacterAI sub, on-topic title, [removed]
49. YES  # recovery sub, robbed sleep, urges
50. YES  # CharacterAI quit, on-topic title
51. NO   # quit over content disagreements, not addiction
52. YES  # unhealthy obsession, destroyed brain
53. YES  # recovery sub, hours on bots, quit
54. YES  # reaching out friends, quit framing
55. NO   # account deletion technical question
56. YES  # recovery sub, quit announcement
57. YES  # wanting to stop spending time
58. YES  # recovery sub, quit after years
59. YES  # recovery sub, struggling to stay off
60. YES  # recovery sub, mental health improvement
61. YES  # recovery sub, wasting life, quit
62. YES  # didn't realize how addicted, quit
63. YES  # got help, no longer addicted
64. YES  # recovery sub, withdrawal feelings
65. YES  # obsessed, daily hours, quit
66. YES  # CharacterAI, "I am healing" title
67. YES  # CharacterAI quit announcement title
68. YES  # recovery sub, quit announcement
69. YES  # recovery sub, going cold turkey
70. YES  # title says addicted, quit
71. NO   # ChatGPT quality complaint, not addiction
72. NO   # complaint about quit posts, meta
73. YES  # completely addicted, now free
74. YES  # became a problem, quit
75. YES  # CharacterAI sub, on-topic title, [removed]
76. YES  # withdrawal title, urge to redownload
77. NO   # quit over update quality, not addiction
78. YES  # knew I had a problem, anxiety, quit
79. YES  # CharacterAI quit, on-topic title
80. YES  # AI boyfriend attachment, mom intervention
81. YES  # CharacterAI, years of use, hard to let go
82. YES  # ChatbotAddiction sub, problem framing
83. YES  # coping mechanism, 45+ hours/week addiction
84. NO   # quit over quality decline, not addiction
85. YES  # quit AI apps, turning new leaf
86. YES  # recovery sub, 5 months clean
87. NO   # quit over app quality, not addiction
88. YES  # recovery sub, cravings expected
89. YES  # recovery sub, too much time, quit
90. YES  # 3 years addiction, environmental concern too
91. YES  # CharacterAI, hours of shame, quit
92. YES  # 3 hours/day, quit announcement
93. YES  # admitted addict for a year, quit
94. YES  # CharacterAI quit, free of ai framing
95. YES  # recovery sub, emotional dependence
96. YES  # recovery sub, compulsions, quit
97. YES  # quitting AI chatbots forever, 2-3 years
98. YES  # dopamine/addiction framing, uninstall
99. YES  # recovery sub, discussing quit post
100. YES  # quit, 5-6 hours per night, life impact
PRECISION: 85/100 = 85%

## KEYWORD: hours a day → Addiction
1. YES  # reducing hours, dependency framing
2. YES  # asks about heavy use, compulsion frame
3. YES  # recovery sub, quitting addiction story
4. YES  # heavy use, comfort dependence
5. YES  # self-described problem, heavy use
6. YES  # overcoming addiction, screen time drop
7. YES  # 16 hours, quitting addiction post
8. YES  # 10 hours, deleted app, distraction
9. YES  # got addicted, deleted, grief
10. YES  # recovery sub, quitting bots
11. YES  # past unhealthy hours, indulgence relapse
12. NO   # ironic joke, no compulsion framing
13. NO   # commentary on Setzer case, third-person
14. YES  # recovery sub, neglecting life
15. YES  # heavy use, fictional/real confusion
16. YES  # admits addiction, can't stop
17. YES  # recovery sub, asking for help quitting
18. YES  # 10 hours, personal addiction
19. YES  # recovery sub, 14 hours, isolation
20. NO   # GPT complaints, business work, no compulsion
21. NO   # casual use, no distress framing
22. YES  # chatbot addiction sub, quitting story
23. YES  # addiction sub, hooked, life changed
24. NO   # comparing to doomscrolling, no distress
25. YES  # life ruined, can't stop, dependency
26. YES  # quitting, grief, dependency
27. YES  # craving phase, deleted, can't stop
28. YES  # AI_Addiction sub, deleted everything
29. YES  # 10 hours, embarrassed, scared of limit
30. YES  # recovery sub, quitting plan
31. NO   # companionship intro, no compulsion framing
32. YES  # 14 hours, time waste, distress
33. YES  # admits addiction, reduced use
34. NO   # product complaint, no compulsion framing
35. YES  # ashamed, dependency framing
36. YES  # 5 hours, asking if concerning
37. NO   # curiosity about others, no first-person stake
38. YES  # asking how to quit, 4 hours
39. NO   # therapy use, no compulsion framing
40. NO   # poll question, no first-person stake
41. YES  # recovery sub, withdrawal
42. YES  # eight hours, wonders if too much
43. YES  # ironic addiction joke, companion sub
44. YES  # trying to quit, 2-3 hours
45. NO   # third-person observation, no own stake
46. NO   # complaint about servers, off-topic
47. YES  # procrastination, admits issue
48. YES  # less depressed using less, addiction frame
49. NO   # slow mode complaint, off-topic
50. YES  # screen time insecurity, companion sub
51. NO   # rhetorical about social media, no compulsion
52. NO   # body removed, title is curiosity question
53. NO   # platform comparison, no compulsion framing
54. YES  # recovery sub, 12 hours, reducing
55. NO   # joke title, no body, off-topic
56. NO   # parenting opinion, third-person
57. NO   # work hours context, not AI use
58. YES  # 13-14 hours screen time, companion sub
59. YES  # recovery sub, 8 hours, no sleep
60. YES  # quit plan, ruined mental health
61. YES  # chatbot addiction sub, 10+ hours, sober
62. NO   # feature request, no compulsion framing
63. YES  # 10+ hours, asking for help
64. YES  # 15 hours, addiction self-description
65. NO   # complaint about time limit, no compulsion
66. YES  # 9 hours, tried to quit, regret
67. YES  # 10+ hours, touch grass, addiction frame
68. YES  # 5 hours, no longer addicted
69. YES  # recovery sub, 15 hours, miserable quitting
70. YES  # heavily addicted, deleted account
71. NO   # complaint about platform limit, no compulsion
72. YES  # 16 hours, escape from life
73. YES  # quit, 10 hours, advice to others
74. YES  # 10 hours, addicted 3 years, can't quit
75. YES  # past heavy use, finding life beyond
76. NO   # commentary on others' downtime claims
77. YES  # 12+ hours, ruining life, quitting
78. YES  # recovery sub, 18 hours, recovery
79. NO   # body removed, title is product complaint
80. NO   # platform complaint about teen limit
81. YES  # used to be 4-5 hours, addiction reframed
82. YES  # 8 hours, quitting note, friends miss
83. NO   # life-saving framing, no compulsion
84. NO   # poll, no body, no first-person stake
85. NO   # third-person commentary on others
86. YES  # 2 hours, denies addiction, companion sub
87. NO   # opinion on limit policy, third-person
88. NO   # romance, no compulsion framing
89. YES  # screen time tracking, ate my life
90. NO   # title-only complaint, no body
91. YES  # recovery sub, 5+ hours, quitting tactic
92. YES  # recovery sub, 9 hours, dependent
93. YES  # 5 hours, 3 years, finally free
94. YES  # 5-14 hours, deleted account
95. YES  # 10 hours, addiction destroyed grades
96. YES  # many hours, might be addicted
97. YES  # recovery sub, 13 hours, deleted
98. YES  # recovery sub, addiction methodology debate
99. YES  # 10 hours, can't wait to quit
100. YES  # recovery sub, 9 hours down to 2
PRECISION: 73/100 = 73%
